source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,4,KiaOmni_σ8,128,2339.5,3376.8,15.7,7084.7,6016.4
ruler,niah_single,4096,4,KiaOmni_σ8,256,2339.5,5937.7,16.17,7084.7,6037.1
ruler,niah_single,4096,4,KiaOmni_σ8,512,2339.5,6001.6,16.0,7084.7,6078.7
ruler,niah_single,4096,4,KiaOmni_Gaussian,98,2339.5,5940.5,16.16,7084.7,6011.5
ruler,niah_single,4096,4,KiaOmni_Gaussian,128,2339.5,5938.3,16.17,7084.7,6016.4
ruler,niah_single,4096,4,KiaOmni_Gaussian,256,2339.5,3051.6,15.4,7084.7,6037.1
ruler,niah_single,4096,4,KiaOmni_Gaussian,512,2339.5,6001.4,16.0,7084.7,6078.7
ruler,niah_single,4096,5,FullContext,98,2663.4,1758.9,3.41,7085.7,6648.2
ruler,niah_single,4096,5,FullContext,128,2663.4,1758.9,3.41,7085.7,6648.2
ruler,niah_single,4096,5,FullContext,256,2663.4,1758.9,3.41,7085.7,6648.2
ruler,niah_single,4096,5,FullContext,512,2663.4,1758.9,3.41,7085.7,6648.2
ruler,niah_single,4096,5,BlockSal,98,2663.4,1244.1,13.66,7085.7,6011.5
ruler,niah_single,4096,5,BlockSal,128,2663.4,1202.0,14.14,7085.7,6014.1
ruler,niah_single,4096,5,BlockSal,256,2663.4,581.2,10.32,7085.7,6034.9
ruler,niah_single,4096,5,BlockSal,512,2663.4,604.8,9.92,7085.7,6076.4
ruler,niah_single,4096,5,SnapKV,98,2663.4,1313.1,13.71,7085.7,6003.5
ruler,niah_single,4096,5,SnapKV,128,2663.4,5898.0,16.28,7085.7,6004.7
ruler,niah_single,4096,5,SnapKV,256,2663.4,5438.7,16.0,7085.7,6011.0
ruler,niah_single,4096,5,SnapKV,512,2663.4,1633.4,14.69,7085.7,6020.6
ruler,niah_single,4096,5,AdaSnapKV,98,2663.4,5655.6,15.91,7085.7,6017.3
ruler,niah_single,4096,5,AdaSnapKV,128,2663.4,5726.5,15.89,7085.7,6024.0
ruler,niah_single,4096,5,AdaSnapKV,256,2663.4,5988.7,16.03,7085.7,6052.6
ruler,niah_single,4096,5,AdaSnapKV,512,2663.4,6087.7,15.77,7085.7,6109.7
ruler,niah_single,4096,5,H2O,98,2663.4,1637.1,15.27,7085.7,6011.5
ruler,niah_single,4096,5,H2O,128,2663.4,5898.1,16.28,7085.7,6016.4
ruler,niah_single,4096,5,H2O,256,2663.4,3499.4,15.72,7085.7,6037.1
ruler,niah_single,4096,5,H2O,512,2663.4,608.0,9.87,7085.7,6078.7
ruler,niah_single,4096,5,KiaOmni_σ8,98,2663.4,5921.7,16.21,7085.7,6011.5
ruler,niah_single,4096,5,KiaOmni_σ8,128,2663.4,1207.2,14.08,7085.7,6016.4
ruler,niah_single,4096,5,KiaOmni_σ8,256,2663.4,5951.6,16.13,7085.7,6037.1
ruler,niah_single,4096,5,KiaOmni_σ8,512,2663.4,607.9,9.87,7085.7,6078.7
ruler,niah_single,4096,5,KiaOmni_Gaussian,98,2663.4,1181.2,14.39,7085.7,6011.5
ruler,niah_single,4096,5,KiaOmni_Gaussian,128,2663.4,1196.6,14.21,7085.7,6016.4
ruler,niah_single,4096,5,KiaOmni_Gaussian,256,2663.4,538.5,11.14,7085.7,6037.1
ruler,niah_single,4096,5,KiaOmni_Gaussian,512,2663.4,604.1,9.93,7085.7,6078.7
ruler,niah_single,4096,6,FullContext,98,2337.6,7142.2,13.44,7084.7,6647.6
ruler,niah_single,4096,6,FullContext,128,2337.6,7142.2,13.44,7084.7,6647.6
ruler,niah_single,4096,6,FullContext,256,2337.6,7142.2,13.44,7084.7,6647.6
ruler,niah_single,4096,6,FullContext,512,2337.6,7142.2,13.44,7084.7,6647.6
