source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,4,AdaSnapKV,256,3814.7,855.0,14.04,4967.4,4668.5
ruler,niah_single,4096,4,AdaSnapKV,512,3814.7,964.4,12.44,4967.4,4747.9
ruler,niah_single,4096,4,H2O,98,3814.7,5781.9,15.74,4967.4,4611.1
ruler,niah_single,4096,4,H2O,128,3814.7,598.0,15.05,4967.4,4617.8
ruler,niah_single,4096,4,H2O,256,3814.7,1602.4,13.73,4967.4,4646.1
ruler,niah_single,4096,4,H2O,512,3814.7,889.9,13.48,4967.4,4702.9
ruler,niah_single,4096,4,KiaOmni_σ8,98,3814.7,1815.2,15.43,4967.4,4611.1
ruler,niah_single,4096,4,KiaOmni_σ8,128,3814.7,1823.0,15.36,4967.4,4617.8
ruler,niah_single,4096,4,KiaOmni_σ8,256,3814.7,815.4,14.72,4967.4,4646.1
ruler,niah_single,4096,4,KiaOmni_σ8,512,3814.7,895.1,13.41,4967.4,4702.9
ruler,niah_single,4096,4,KiaOmni_Gaussian,98,3814.7,1827.7,15.32,4967.4,4611.1
ruler,niah_single,4096,4,KiaOmni_Gaussian,128,3814.7,1861.6,15.04,4967.4,4617.8
ruler,niah_single,4096,4,KiaOmni_Gaussian,256,3814.7,827.3,14.51,4967.4,4646.1
ruler,niah_single,4096,4,KiaOmni_Gaussian,512,3814.7,889.2,13.5,4967.4,4702.9
ruler,niah_single,4096,5,FullContext,98,3805.9,2111.4,5.21,4967.5,5512.1
ruler,niah_single,4096,5,FullContext,128,3805.9,2111.4,5.21,4967.5,5512.1
ruler,niah_single,4096,5,FullContext,256,3805.9,2111.4,5.21,4967.5,5512.1
ruler,niah_single,4096,5,FullContext,512,3805.9,2111.4,5.21,4967.5,5512.1
ruler,niah_single,4096,5,BlockSal,98,3805.9,1667.0,15.6,4967.5,4610.7
ruler,niah_single,4096,5,BlockSal,128,3805.9,736.8,14.93,4967.5,4617.8
ruler,niah_single,4096,5,BlockSal,256,3805.9,754.6,14.58,4967.5,4646.1
ruler,niah_single,4096,5,BlockSal,512,3805.9,819.6,13.42,4967.5,4702.9
ruler,niah_single,4096,5,SnapKV,98,3805.9,2981.7,15.76,4967.5,4600.2
